ref_gene	ref_transcript	query_gene	query_transcript	class_code	exons
gene-FOBCDRAFT_430	XP_031041411.1	FOZG_02018	FOZG_02018-t36_2	n	5
gene-FOBCDRAFT_430	XP_031041411.1	FOZG_02018	FOZG_02018-t36_3	em	5
gene-FOBCDRAFT_209856	XP_059463690.1	FOZG_17471	FOZG_17471-t36_1	em	3
